id,parent_id:id,code,name,note,type
ciiu_0001,,01 SECCIÓN A,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",,view
ciiu_0002,ciiu_0001,01,"Agricultura, ganadería, caza y actividades de servicios conexas ",,view
ciiu_0003,ciiu_0002,011,Cultivos agrícolas transitorios ,,view
ciiu_0004,ciiu_0003,0111,"Cultivo de cereales (excepto arroz), legumbres y semillas oleaginosas ",,other
ciiu_0005,ciiu_0003,0112,Cultivo de arroz ,,other
ciiu_0006,ciiu_0003,0113,"Cultivo de hortalizas, raíces y tubérculos ",,other
ciiu_0007,ciiu_0003,0114,Cultivo de tabaco ,,other
ciiu_0008,ciiu_0003,0115,Cultivo de plantas textiles ,,other
ciiu_0009,ciiu_0003,0119,Otros cultivos transitorios n.c.p.,,other
ciiu_0010,ciiu_0002,012,Cultivos agrícolas permanentes ,,view
ciiu_0011,ciiu_0010,0121,Cultivo de frutas tropicales y subtropicales,,other
ciiu_0012,ciiu_0010,0122,Cultivo de plátano y banano,,other
ciiu_0013,ciiu_0010,0123,Cultivo de café,,other
ciiu_0014,ciiu_0010,0124,Cultivo de caña de azúcar,,other
ciiu_0015,ciiu_0010,0125,Cultivo de flor de corte,,other
ciiu_0016,ciiu_0010,0126,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,,other
ciiu_0017,ciiu_0010,0127,Cultivo de plantas con las que se preparan bebidas,,other
ciiu_0018,ciiu_0010,0128,Cultivo de especias y de plantas aromáticas y medicinales ,,other
ciiu_0019,ciiu_0010,0129,Otros cultivos permanentes n.c.p.,,other
ciiu_0020,ciiu_0002,013,"Propagación de plantas (actividades de los viveros, excepto viveros forestales) ",,view
ciiu_0021,ciiu_0020,0130,"Propagación de plantas (actividades de los viveros, excepto viveros forestales) ",,other
ciiu_0022,ciiu_0002,014,Ganadería ,,view
ciiu_0023,ciiu_0022,0141,Cría de ganado bovino y bufalino,,other
ciiu_0024,ciiu_0022,0142,Cría de caballos y otros equinos ,,other
ciiu_0025,ciiu_0022,0143,Cría de ovejas y cabras ,,other
ciiu_0026,ciiu_0022,0144,Cría de ganado porcino,,other
ciiu_0027,ciiu_0022,0145,Cría de aves de corral,,other
ciiu_0028,ciiu_0022,0149,Cría de otros animales n.c.p.,,other
ciiu_0029,ciiu_0002,015,Explotación mixta (agrícola y pecuaria) ,,view
ciiu_0030,ciiu_0029,0150,Explotación mixta (agrícola y pecuaria) ,,other
ciiu_0031,ciiu_0002,016,"Actividades de apoyo a la agricultura y la ganadería, y actividades posteriores a la cosecha ",,view
ciiu_0032,ciiu_0031,0161,Actividades de apoyo a la agricultura ,,other
ciiu_0033,ciiu_0031,0162,Actividades de apoyo a la ganadería,,other
ciiu_0034,ciiu_0031,0163,Actividades posteriores a la cosecha ,,other
ciiu_0035,ciiu_0031,0164,Tratamiento de semillas para propagación ,,other
ciiu_0036,ciiu_0002,017,Caza ordinaria y mediante trampas y actividades de servicios conexas ,,view
ciiu_0037,ciiu_0036,0170,Caza ordinaria y mediante trampas y actividades de servicios conexas ,,other
ciiu_0038,ciiu_0001,02,Silvicultura y extracción de madera,,view
ciiu_0039,ciiu_0038,021,Silvicultura y otras actividades forestales,,view
ciiu_0040,ciiu_0039,0210,Silvicultura y otras actividades forestales,,other
ciiu_0041,ciiu_0038,022,Extracción de madera ,,view
ciiu_0042,ciiu_0041,0220,Extracción de madera ,,other
ciiu_0043,ciiu_0038,023,Recolección de productos forestales diferentes a la madera,,view
ciiu_0044,ciiu_0043,0230,Recolección de productos forestales diferentes a la madera,,other
ciiu_0045,ciiu_0038,024,Servicios de apoyo a la silvicultura ,,view
ciiu_0046,ciiu_0045,0240,Servicios de apoyo a la silvicultura ,,other
ciiu_0047,ciiu_0001,03,Pesca y acuicultura,,view
ciiu_0048,ciiu_0047,031,Pesca ,,view
ciiu_0049,ciiu_0048,0311,Pesca marítima ,,other
ciiu_0050,ciiu_0048,0312,Pesca de agua dulce ,,other
ciiu_0051,ciiu_0047,032,Acuicultura ,,view
ciiu_0052,ciiu_0051,0321,Acuicultura marítima ,,other
ciiu_0053,ciiu_0051,0322,Acuicultura de agua dulce,,other
ciiu_0054,,05 SECCIÓN B,EXPLOTACIÓN DE MINAS Y CANTERAS,,view
ciiu_0055,ciiu_0054,05,Extracción de carbón de piedra y lignito,,view
ciiu_0056,ciiu_0055,051,Extracción de hulla (carbón de piedra),,view
ciiu_0057,ciiu_0056,0510,Extracción de hulla (carbón de piedra),,other
ciiu_0058,ciiu_0055,052,Extracción de carbón lignito,,view
ciiu_0059,ciiu_0058,0520,Extracción de carbón lignito,,other
ciiu_0060,ciiu_0054,06,Extracción de petróleo crudo y gas natural,,view
ciiu_0061,ciiu_0060,061,Extracción de petróleo crudo,,view
ciiu_0062,ciiu_0061,0610,Extracción de petróleo crudo,,other
ciiu_0063,ciiu_0060,062,Extracción de gas natural,,view
ciiu_0064,ciiu_0063,0620,Extracción de gas natural,,other
ciiu_0065,ciiu_0054,07,Extracción de minerales metalíferos,,view
ciiu_0066,ciiu_0065,071,Extracción de minerales de hierro,,view
ciiu_0067,ciiu_0066,0710,Extracción de minerales de hierro,,other
ciiu_0068,ciiu_0065,072,Extracción de minerales metalíferos no ferrosos,,view
ciiu_0069,ciiu_0068,0721,Extracción de minerales de uranio y de torio,,other
ciiu_0070,ciiu_0068,0722,Extracción de oro y otros metales preciosos,,other
ciiu_0071,ciiu_0068,0723,Extracción de minerales de níquel,,other
ciiu_0072,ciiu_0068,0729,Extracción de otros minerales metalíferos no ferrosos n.c.p.,,other
ciiu_0073,ciiu_0054,08,Extracción de otras minas y canteras,,view
ciiu_0074,ciiu_0073,081,"Extracción de piedra, arena, arcillas, cal, yeso, caolín, bentonitas y similares",,view
